continent,country,population,date,new_cases,active_cases,cases_per_million,total_cases,new_deaths,deaths_per_million,total_deaths,tests_per_million,total_tests
Africa,Eritrea,3662244,2026-02-16,,0,2782,10189,,28,103,6470,23693
Africa,Niger,26083660,2026-02-16,,729,381,9931,,12,312,9759,254538
Africa,Saint-Helena,6115,2026-02-16,,2164,354211,2166,,,,,
South-America,Falkland-Islands,3539,2026-02-16,,0,545352,1930,,,,2439107,8632
North-America,Montserrat,4965,2026-02-16,,19,282578,1403,,1611,8,3577442,17762
,Diamond-Princess,,2026-02-16,,0,,712,,,13,,
Europe,Vatican-City,799,2026-02-16,,0,36295,29,,,,,
Africa,Western-Sahara,626161,2026-02-16,,0,16,10,,2,1,,
,MS-Zaandam,,2026-02-16,,0,,9,,,2,,
Asia,China,1448471400,2026-02-16,,118977,347,503302,,4,5272,110461,160000000
Africa,Liberia,5305117,2026-02-16,,12,1525,8090,,56,295,26356,139824
Oceania,Nauru,10903,2026-02-16,,45,494635,5393,,92,1,1881042,20509
North-America,Caribbean-Netherlands,26647,2026-02-16,+3,1168,438398,11682,,1426,38,1130559,30126
Africa,Comoros,907419,2026-02-16,,9,10038,9109,,177,161,,
Africa,Guinea-Bissau,2063367,2026-02-16,,508,4659,9614,,86,177,70385,145231
Africa,Chad,17413580,2026-02-16,,2633,442,7701,,11,194,10988,191341
North-America,Sint-Maarten,43966,2026-02-16,,54,251353,11051,,2093,92,1411454,62056
Oceania,Wallis-and-Futuna,10982,2026-02-16,,3104,323256,3550,,728,8,1867419,20508
North-America,St-Barth,9945,2026-02-16,,,553746,5507,,603,6,7908095,78646
North-America,Saint-Kitts-and-Nevis,53871,2026-02-16,,0,122645,6607,,891,48,2356704,126958
Oceania,Tokelau,1378,2026-02-16,,80,58055,80,,,,,
Oceania,Kiribati,123419,2026-02-16,,2358,41201,5085,,194,24,,
North-America,St-Vincent-Grenadines,111551,2026-02-16,,57,86723,9674,,1112,124,1023720,114197
North-America,Antigua-and-Barbuda,99509,2026-02-16,,6,91509,9106,,1467,146,189943,18901
Africa,Sierra-Leone,8306436,2026-02-16,,,937,7779,,15,126,31296,259958
North-America,British-Virgin-Islands,30596,2026-02-16,,,241600,7392,,2092,64,3508269,107339
Oceania,Cook-Islands,17571,2026-02-16,,51,409937,7203,,114,2,1120596,19690
Africa,Sao-Tome-and-Principe,227679,2026-02-16,,13,29770,6778,,351,80,130008,29600
North-America,Turks-and-Caicos,39741,2026-02-16,,3,169900,6752,,1007,40,15520193,616788
Oceania,Palau,18233,2026-02-16,,4,344979,6290,,548,10,3917841,71434
North-America,Anguilla,15230,2026-02-16,,,256336,3904,,788,12,3373736,51382
North-America,Saint-Pierre-Miquelon,5759,2026-02-16,,1001,599410,3452,,347,2,4410488,25400
Oceania,Tuvalu,12066,2026-02-16,,,243909,2943,,83,1,,
Oceania,Niue,1622,2026-02-16,,3,652898,1059,,,,,
North-America,Cayman-Islands,67277,2026-02-16,,22882,467797,31472,,550,37,3311280,222773
Africa,Congo,5797805,2026-02-16,,983,4377,25375,,67,386,59991,347815
North-America,Nicaragua,6779100,2026-02-16,,14041,2728,18491,,33,225,,
Asia,Tajikistan,9957464,2026-02-16,,397,1786,17786,,13,125,,
Africa,Djibouti,1016097,2026-02-16,,74,15441,15690,,186,189,301094,305941
North-America,Greenland,56973,2026-02-16,,9189,210117,11971,,369,21,2894810,164926
Africa,Equatorial-Guinea,1496662,2026-02-16,+7,139,11512,17229,,122,183,244342,365697
Africa,Somalia,16841795,2026-02-16,+10,12791,1623,27334,,81,1361,23778,400466
North-America,Bermuda,61939,2026-02-16,+11,10,304493,18860,+2,2664,165,16622128,1029558
Africa,Gambia,2558482,2026-02-16,+28,65,4935,12626,,145,372,60851,155686
North-America,Grenada,113475,2026-02-16,+10,97,173545,19693,,2097,238,1612523,182981
Oceania,Vanuatu,321832,2026-02-16,,29,37346,12019,,44,14,77606,24976
Asia,Timor-Leste,1369429,2026-02-16,,220,17131,23460,,101,138,203391,278529
Africa,Lesotho,2175699,2026-02-16,,9435,16610,36138,,332,723,198199,431221
North-America,Haiti,11680283,2026-02-16,,73,2968,34667,,74,860,11337,132422
Europe,Faeroe-Islands,49233,2026-02-16,,,703959,34658,,569,28,15802409,778000
Africa,Mali,21473764,2026-02-16,,89,1544,33164,,35,743,37483,804909
North-America,Saint-Lucia,185113,2026-02-16,,0,163225,30215,,2215,410,1139752,210983
Africa,Benin,12784726,2026-02-16,,26,2193,28036,,13,163,47268,604310
Asia,Macao,667490,2026-02-16,,24063,41458,27673,,184,123,11760,7850
Oceania,Micronesia,117489,2026-02-16,,,225953,26547,,553,65,701598,82430
Europe,San-Marino,34085,2026-02-16,,46,768226,26185,,3755,128,5775414,196855
Oceania,Solomon-Islands,721159,2026-02-16,,,35989,25954,,276,199,,
Africa,Burkina-Faso,22102838,2026-02-16,,118,1001,22114,,18,400,11265,248995
Europe,Liechtenstein,38387,2026-02-16,,,562013,21574,,2449,94,2929559,112457
Europe,Gibraltar,33704,2026-02-16,,,609720,20550,,3353,113,15852213,534283
Africa,South-Sudan,11618511,2026-02-16,,557,1620,18819,,13,147,35313,410280
Europe,Monaco,39783,2026-02-16,,,431868,17181,,1684,67,1976875,78646
Oceania,Samoa,202239,2026-02-16,,15370,84089,17006,,153,31,926612,187397
Oceania,Tonga,107749,2026-02-16,,1299,157310,16950,,121,13,4965327,535009
Oceania,Marshall-Islands,60057,2026-02-16,,0,268711,16138,,283,17,,
North-America,Dominica,72344,2026-02-16,,0,221691,16038,,1023,74,3170187,229344
Africa,CAR,5016678,2026-02-16,,127,3078,15440,,23,113,16205,81294
North-America,Saint-Martin,39730,2026-02-16,,,310194,12324,,1586,63,2828643,112382
Asia,Yemen,31154867,2026-02-16,,662,383,11945,,69,2159,10579,329592
North-America,Cura&ccedil;ao,165529,2026-02-16,,971,277812,45986,,1782,295,3000640,496693
Europe,Isle-of-Man,85732,2026-02-16,,,443335,38008,,1353,116,1758422,150753
South-America,French-Guiana,314169,2026-02-16,+13,86367,312065,98041,,1337,420,2072951,651257
Europe,Channel-Islands,176463,2026-02-16,+91,168,576421,101717,,1292,228,7099551,1252808
Africa,Mayotte,286259,2026-02-16,+19,,146815,42027,,657,188,618038,176919
North-America,Bahamas,400516,2026-02-16,,874,95087,38084,,2107,844,643767,257839
Oceania,Fiji,909466,2026-02-16,,1006,75997,69117,,973,885,739866,672883
South-America,Suriname,596831,2026-02-16,,,138378,82588,,2359,1408,405822,242207
North-America,Aruba,107609,2026-02-16,,1494,410969,44224,,2714,292,1653068,177885
Africa,Cameroon,27911548,2026-02-16,,125,4492,125379,,71,1974,62762,1751774
Europe,Malta,444033,2026-02-16,,386,273448,121420,,1993,885,4888375,2170600
North-America,Barbados,288023,2026-02-16,,1283,383921,110578,,2250,648,2826715,814159
Africa,Angola,35027343,2026-02-16,,1971,3064,107327,,55,1937,42818,1499795
Africa,DRC,95240792,2026-02-16,,13381,1043,99338,,15,1468,8890,846704
Africa,Malawi,20180839,2026-02-16,,,4437,89535,,133,2686,30959,624784
Africa,Senegal,17653671,2026-02-16,,58,5044,89053,,112,1971,64946,1146543
Africa,Ivory-Coast,27742298,2026-02-16,,52,3186,88384,,30,835,60951,1690934
Oceania,New-Caledonia,290915,2026-02-16,,,275214,80064,,1079,314,340182,98964
Oceania,French-Polynesia,284164,2026-02-16,,,278902,79254,,2287,650,,
Africa,Eswatini,1184817,2026-02-16,,648,63462,75191,,1204,1427,885119,1048704
South-America,Guyana,794045,2026-02-16,,824,93366,74137,,1637,1300,923396,733218
North-America,Belize,412190,2026-02-16,,,173243,71409,,1669,688,1397453,576016
Africa,Madagascar,29178077,2026-02-16,,198,2347,68486,,49,1426,18210,531329
Africa,Cabo-Verde,567678,2026-02-16,,305,113580,64477,,735,417,707482,401622
Africa,Sudan,45992020,2026-02-16,,0,1391,63993,,110,5046,12240,562941
Africa,Mauritania,4901981,2026-02-16,,380,13025,63848,,203,997,206030,1009957
Asia,Bhutan,787941,2026-02-16,,1112,79571,62697,,27,21,2923739,2303734
Asia,Syria,19364809,2026-02-16,,0,2982,57743,,163,3165,7553,146269
Africa,Burundi,12624840,2026-02-16,,1114,4334,54721,,3,38,27386,345742
Africa,Seychelles,99426,2026-02-16,,0,515157,51220,,1730,172,,
Africa,Gabon,2331533,2026-02-16,,70,21038,49051,,132,307,695641,1621909
Europe,Andorra,77463,2026-02-16,,,619844,48015,,2130,165,3225256,249838
Oceania,Papua-New-Guinea,9292169,2026-02-16,,26,5043,46864,,72,670,26813,249149
Africa,Tanzania,63298550,2026-02-16,,,683,43223,,13,846,,
